PARAMETER ASSIGNMENT,O-MSB,O-LSB,WORD,SUBF,SUPF,ONE LOGIC,ZERO LOGIC
LOC BEAM ANOM (ANNUN),1,1,310,0,0,ANNUN,NO ANNUN
G/S BEAM ANOM (ANNUN),1,1,311,0,0,ANNUN,NO ANNUN
NO GLS AUTOLAND (ADV),1,1,437,0,0,ADVISORY,NO ADVISORY
NO GLS LAND3 (ADV),2,2,437,0,0,ADVISORY,NO ADVISORY
NO ILS AUTOLAND (ADV),2,2,245,0,0,ADVISORY,NO ADVISORY
NO ILS LAND3 (ADV),1,1,245,0,0,ADVISORY,NO ADVISORY
NO AUTOLAND (ADV),2,2,501,0,0,ADVISORY,NO ADVISORY
NO LAND 3 (ADV),1,1,501,0,0,ADVISORY,NO ADVISORY
LAND 3 (PFD),2,2,181,0,0,LAND 3 ANNUN,NO ANNUN
LAND 2 (PFD),1,1,181,0,0,LAND 2 ANNUN,NO ANNUN
NO AUTOLAND (PFD),1,1,179,0,0,NO-AUTOLAND ANNUN,NO ANNUN
TEST/TUNE INHIBIT LOC - R,1,1,309,2,0,INHIBIT,NOT INHIBIT
TEST/TUNE INHIBIT LOC - R,1,1,309,4,0,INHIBIT,NOT INHIBIT
TEST/TUNE INHIBIT G/S - R,2,2,309,2,0,INHIBIT,NOT INHIBIT
TEST/TUNE INHIBIT G/S - R,2,2,309,4,0,INHIBIT,NOT INHIBIT
MLS DIRECT ANT SEL CMD ACK - R,3,3,225,4,0,CMD ACK,NOT ACK
GNSS OUTPUT CORRECTION - R (RESERVED),1,1,476,0,0,CORRECTED,UNCORRECTED
SELECTED LANDING MODE STATUS - R,1,1,45,2,0,SELECT MODE NOT FAIL,MODE FAIL
SELECTED LANDING MODE STATUS - R,1,1,45,4,0,SELECT MODE NOT FAIL,MODE FAIL
STBY MODE - R,2,2,476,0,0,STANDBY,ACTIVE
LOCALIZER RECEIVER FAIL - R,2,2,312,4,0,FAILURE,OK
G/S RECEIVER FAILURE - R,2,2,312,3,0,FAILURE,OK
TUNING INPUT BUS ACTIVITY - R,2,2,45,2,0,INACTIVE,OK
TUNING INPUT BUS ACTIVITY - R,2,2,45,4,0,INACTIVE,OK
LOCALIZER ANTENNA FAIL - R,2,2,56,4,0,FAILURE,OK
G/S ANTENNA FAILURE - R,2,2,56,3,0,FAILURE,OK
ILS FAILURE - R,1,1,247,4,0,FAILURE,OK
ILS MODE-VOR-R,4,4,502,0,0,ILS,VOR
MB FAILURE - R,3,3,125,4,0,FAILURE,OK
INPUT DATA - R,1,1,247,3,0,INACTIVE,OK
VOR FAILURE - R,2,2,249,3,0,FAILURE,OK
ILS MODE-VOR-L,4,4,246,0,0,ILS,VOR
INNER MARKER (3000 HZ),3,3,243,0,0,PRESENT,NOT PRESENT
MIDDLE MARKER (1300 HZ),2,2,243,0,0,PRESENT,NOT PRESENT
OUTER MARKER (400 HZ),1,1,243,0,0,PRESENT,NOT PRESENT
MB FAILURE - L,3,3,125,2,0,FAILURE,OK
INPUT DATA - L,1,1,247,1,0,INACTIVE,OK
VOR FAILURE - L,2,2,249,1,0,FAILURE,OK
STICK SHAKER - LT,2,2,71,0,0,ACTIVATED,NOT ACTIVATE
STICK SHAKER - LT,2,2,199,0,0,ACTIVATED,NOT ACTIVATE
STICK SHAKER - LT,2,2,327,0,0,ACTIVATED,NOT ACTIVATE
STICK SHAKER - LT,2,2,455,0,0,ACTIVATED,NOT ACTIVATE
AUTO SLAT ENABLE - LT,12,12,453,0,0,ENABLE,NOT ENABLE
YAW DAMPER ENGAGE,2,2,36,0,0,ENGAGE,NOT ENGAGE
YAW DAMPER ENGAGE,2,2,164,0,0,ENGAGE,NOT ENGAGE
YAW DAMPER ENGAGE,2,2,292,0,0,ENGAGE,NOT ENGAGE
YAW DAMPER ENGAGE,2,2,420,0,0,ENGAGE,NOT ENGAGE
SOLENOID ENGAGE SMYDC-1,2,2,492,3,0,ENGAGE,NOT ENGAGE
AIR/GND - SMYDC,12,12,456,1,7,ON GND,IN AIR
NOSE AIR/GND - SMYDC,11,11,456,1,7,ON GND,IN AIR
MAIN GEAR DOWN - SMYDC,10,10,456,1,7,DOWN,NOT DOWN
CHANNEL FAULT - SMYDC,9,9,456,1,7,YAW DAMP CHNL FAULT,NO FAULT
AUTO SLAT CMD - LT,8,8,453,0,0,COMMAND,NOT COMMAND
AUTO SLAT VALID - LT,10,10,453,0,0,VALID,NOT VALID
ELEV FEEL SYS CMD,3,3,505,4,0,COMMAND,NOT CMD
TEST DISPLAY CMD FCC-L,2,2,496,4,0,TEST,NO TEST
LOCAL LIMITED MASTER-L,2,2,28,0,0,SET,NOT SET
LOCAL LIMITED MASTER-L,2,2,284,0,0,SET,NOT SET
DME R ANTENNA FAILURE,1,1,171,0,0,FAILURE,OK
DME RT FAILURE,1,1,427,0,0,FAILURE,OK
FAULT DISPATCH LVL A #1 (EEC),2,2,47,0,0,MMEL DISP,NORMAL
EEC HARD ALTN MODE SEL #1,1,1,239,2,0,HARD ALTN,NORMAL MODE
EEC SOFT ALTN MODE SEL #1,1,1,239,4,0,SOFT ALTN,NORMAL MODE
APPROACH IDLE SEL #1,2,2,113,0,0,APPR IDLE,MIN IDLE
A/C ON GND SEL EEC #1,1,1,47,0,0,GND,AIR
EEC CHANNEL IN CTRL #1,1,1,111,0,0,IN CONTROL,NOT IN CTRL
RT T/R INTRANSIT,2,2,217,0,0,INTRANSIT,NOT INTRANSIT
RT T/R DEPLOYED,1,1,217,0,0,DEPLOYED,STOWED
LT T/R INTRANSIT,2,2,218,0,0,INTRANSIT,NOT INTRANSIT
LT T/R DEPLOYED,1,1,218,0,0,DEPLOYED,STOWED
BRAKE TEMP OVERHEAT LT,2,2,192,0,0,ON,OFF
FAULT DISPATCH LVL A #2 (EEC),2,2,303,0,0,MMEL DISP,NORMAL
EEC HARD ALTN MODE SEL #2,1,1,495,2,0,HARD ALTN,NORMAL MODE
EEC SOFT ALTN MODE SEL #2,1,1,495,4,0,SOFT ALTN,NORMAL MODE
APPROACH IDLE SEL #2,2,2,369,0,0,APPR IDLE,MIN IDLE
A/C ON GND SEL EEC #2,1,1,303,0,0,GND,AIR
EEC CHANNEL IN CTRL #2,1,1,367,0,0,IN CONTROL,NOT IN CTRL
EGT START REDLINE EXC #1,1,1,249,0,0,ALERT,NORMAL
LOW OIL PRESS CAUTION #1,2,2,114,2,0,ALERT,NORMAL
ENG HOT START DETECTED #1,1,1,63,1,0,HOT START,NORMAL
EGT AMBER LIMIT EXC #1,1,1,99,0,0,ALERT,NORMAL
EGT REDLINE EXC #1,1,1,59,0,0,ALERT,NORMAL
N2 REDLINE EXC #1,1,1,251,0,0,ALERT,NORMAL
N1 REDLINE EXC #1,2,2,110,0,0,ALERT,NORMAL
FUEL FILTER IMP BYPASS #1,1,1,473,0,0,IMP BYPASS,NORMAL
OIL FILTER IMP BYPASS #1,1,1,114,4,0,IMP BYPASS,NORMAL
OIL PRES AMB LIMIT ENG #1,2,2,107,0,0,ALERT,NORMAL
OIL PRES REDLINE RANGE #1,1,1,177,0,0,ALERT,NORMAL
OIL TEMP AMB LIMIT EXC #1,1,1,107,0,0,ALERT,NORMAL
OIL TEMP REDLINE EXC #1,1,1,52,0,0,ALERT,NORMAL
RT EGT START REDLINE,1,1,314,3,0,TRUE,FALSE
RT LOW OIL PRESS CAUT,2,2,370,4,0,TRUE,FALSE
RT ENG HOT START DETECT,1,1,319,3,0,TRUE,FALSE
RT EGT NORM AMB LIMIT,2,2,314,3,0,TRUE,FALSE
RT EGT NORM REDLINE,2,2,314,2,0,TRUE,FALSE
RT N2 REDLINE EXC,1,1,314,4,0,TRUE,FALSE
RT N1 REDLINE EXC,1,1,314,2,0,TRUE,FALSE
RT FUEL FILTER IMP BY,2,2,372,4,0,TRUE,FALSE
RT LOW OIL PRESS AMB,2,2,370,3,0,TRUE,FALSE
RT LOW OIL PRESS RED,2,2,308,0,0,TRUE,FALSE
RT OIL PRESS REDLINE,1,1,370,3,0,TRUE,FALSE
RT OIL TEMP AMB LIMIT,2,2,372,3,0,TRUE,FALSE
RT OIL TEMP REDLINE,1,1,372,3,0,TRUE,FALSE
LT EGT START REDLINE,1,1,58,3,0,TRUE,FALSE
LT LOW OIL PRESS CAUT,2,2,114,4,0,TRUE,FALSE
LT ENG HOT START DETECT,1,1,63,3,0,TRUE,FALSE
LT EGT NORM AMB LIMIT,2,2,58,3,0,TRUE,FALSE
LT EGT NORM REDLINE,2,2,58,2,0,TRUE,FALSE
LT N2 REDLINE EXC,1,1,58,4,0,TRUE,FALSE
LT N1 REDLINE EXC,1,1,58,2,0,TRUE,FALSE
LT FUEL FILTER IMP BY,2,2,116,4,0,TRUE,FALSE
LT LOW OIL PRESS AMB,2,2,114,3,0,TRUE,FALSE
LT LOW OIL PRESS RED,2,2,52,0,0,TRUE,FALSE
LT OIL PRESS REDLINE,1,1,114,3,0,TRUE,FALSE
LT OIL TEMP AMB LIMIT,2,2,116,3,0,TRUE,FALSE
LT OIL TEMP REDLINE,1,1,116,3,0,TRUE,FALSE
EGT START REDLINE EXC #2,1,1,505,0,0,ALERT,NORMAL
LOW OIL PRESS CAUTION #2,2,2,370,2,0,ALERT,NORMAL
ENG HOT START DETECTED #2,1,1,319,1,0,HOT START,NORMAL
EGT AMBER LIMIT EXC #2,1,1,355,0,0,ALERT,NORMAL
EGT REDLINE EXC #2,1,1,315,0,0,ALERT,NORMAL
N2 REDLINE EXC #2,1,1,507,0,0,ALERT,NORMAL
N1 REDLINE EXC #2,2,2,366,0,0,ALERT,NORMAL
FUEL FILTER IMP BYPASS #2,2,2,473,0,0,IMP BYPASS,NORMAL
OIL FILTER IMP BYPASS #2,1,1,370,4,0,IMP BYPASS,NORMAL
OIL PRES AMB LIMIT ENG #2,2,2,363,0,0,ALERT,NORMAL
OIL PRES REDLINE RANGE #2,1,1,433,0,0,ALERT,NORMAL
OIL TEMP AMB LIMIT EXC #2,1,1,363,0,0,ALERT,NORMAL
OIL TEMP REDLINE EXC #2,1,1,308,0,0,ALERT,NORMAL
ROLLBACK OVERTEMP ACT #1,1,1,63,2,0,ACTIVE,NORMAL
FLAMEOUT PROTECTION ACT 1,1,1,63,4,0,RECOVER ACT,NORMAL
NO ENG LIGHTOFF DECT #1,1,1,227,0,0,NO LIGHTOFF,NORMAL
115VAC UNAVAIL TO R IGN 1,1,1,116,4,0,UNAVAILABLE,NORMAL
115VAC UNAVAIL TO L IGN 1,1,1,116,2,0,UNAVAILABLE,NORMAL
RT IGN (#2) CMD ON #1,1,1,57,4,0,ON,OFF
LT IGN (#2) CMD ON #1,1,1,57,2,0,ON,OFF
TFC SELECTED F/O,6,6,492,2,0,SELECT,NOT SEL
CENTER DISP FORMAT F/O,5,5,492,2,0,SELECT,NOT SEL
VOR RT SELECTED F/O,4,4,492,2,0,SELECT,NOT SEL
ADF RT SELECTED F/O,3,3,492,2,0,SELECT,NOT SEL
HEADING UP MAP FMT F/O,2,2,492,2,0,SELECT,NOT SEL
AIRPORTS SELECTED F/O,12,12,225,1,0,SELECT,NOT SEL
ROUTE DATA SELECTED F/O,11,11,225,1,0,SELECT,NOT SEL
WAY POINT SELECTED F/O,10,10,225,1,0,SELECT,NOT SEL
GND STA DATA SEL F/O,9,9,225,1,0,SELECT,NOT SEL
POSITION DATA SEL F/O,8,8,225,1,0,SELECT,NOT SEL
VOR LT SELECTED F/O,7,7,225,1,0,SELECT,NOT SEL
ADF LT SELECTED F/O,6,6,225,1,0,SELECT,NOT SEL
PFD/ND DISPLAY FMT F/O,1,1,492,2,0,SELECT,NOT SEL
PLAN MODE SELECTED F/O,5,5,225,1,0,SELECT,NOT SEL
APPROACH MODE SEL F/O,4,4,225,1,0,SELECT,NOT SEL
VOR MODE SELECTED F/O,3,3,225,1,0,SELECT,NOT SEL
MAP MODE SELECTED F/O,2,2,225,1,0,SELECT,NOT SEL
TFC SELECTED CAPT,12,12,492,2,0,SELECT,NOT SEL
CENTER DISP FORMAT CAPT,11,11,492,2,0,SELECT,NOT SEL
VOR RT SELECTED CAPT,10,10,492,2,0,SELECT,NOT SEL
ADF RT SELECTED CAPT,9,9,492,2,0,SELECT,NOT SEL
HEADING UP MAP FMT CAPT,8,8,492,2,0,SELECT,NOT SEL
AIRPORTS SELECTED CAPT,12,12,225,3,0,SELECT,NOT SEL
ROUTE DATA SEL CAPT,11,11,225,3,0,SELECT,NOT SEL
WAY POINT SELECTED CAPT,10,10,225,3,0,SELECT,NOT SEL
GND STA DATA SEL CAPT,9,9,225,3,0,SELECT,NOT SEL
POSITION DATA SEL CAPT,8,8,225,3,0,SELECT,NOT SEL
VOR LT SELECTED CAPT,7,7,225,3,0,SELECT,NOT SEL
ADF LT SELECTED CAPT,6,6,225,3,0,SELECT,NOT SEL
PFD/ND DISPLAY FMT CAPT,7,7,492,2,0,SELECT,NOT SEL
PLAN MODE SELECTED CAPT,5,5,225,3,0,SELECT,NOT SEL
APPROACH MODE SEL CAPT,4,4,225,3,0,SELECT,NOT SEL
VOR MODE SELECTED CAPT,3,3,225,3,0,SELECT,NOT SEL
MAP MODE SELECTED CAPT,2,2,225,3,0,SELECT,NOT SEL
ROLLBACK OVERTEMP ACT #2,1,1,319,2,0,ACTIVE,NORMAL
FLAMEOUT PROTECTION ACT 2,1,1,319,4,0,RECOVER ACT,NORMAL
NO ENG LIGHTOFF DECT #2,1,1,483,0,0,NO LIGHTOFF,NORMAL
115VAC UNAVAIL TO R IGN 2,1,1,372,4,0,UNAVAILABLE,NORMAL
115VAC UNAVAIL TO L IGN 2,1,1,372,2,0,UNAVAILABLE,NORMAL
RT IGN (#2) CMD ON #2,1,1,313,4,0,ON,OFF
LT IGN (#2) CMD ON #2,1,1,313,2,0,ON,OFF
5C/7B ENG MODEL TYPE #1,2,2,512,3,0,7B,5C
SAC/DAC ENG CONFIG #1,1,1,512,3,0,DAC,SAC
MDA SELECTED F/O,1,1,225,1,0,SELECT,NOT SEL
GPWC V1 CALLOUT ENABLE FO,6,6,492,4,0,TRUE,FALSE
FPV SELECTED F/O,5,5,492,4,0,TRUE,FALSE
METERS SELECTED F/O,4,4,492,4,0,TRUE,FALSE
HPA SELECTED F/O,3,3,492,4,0,TRUE,FALSE
HG SELECTED F/O,2,2,492,4,0,TRUE,FALSE
EGPWS DISP SEL F/O,1,1,198,2,0,SELECT,NOT SEL
WXR SELECTED F/O,1,1,492,4,0,TRUE,FALSE
MDA SELECTED CAPT,1,1,225,3,0,SELECT,NOT SEL
RA HEALTH,3,3,505,3,0,TRUE,FALSE
GPWC V1 CALLOUT ENABLE CAPT,12,12,492,4,0,TRUE,FALSE
FPV SELECTED CAPT,11,11,492,4,0,TRUE,FALSE
METERS SELECTED CAPT,10,10,492,4,0,TRUE,FALSE
HPA SELECTED CAPT,9,9,492,4,0,TRUE,FALSE
HG SELECTED CAPT,8,8,492,4,0,TRUE,FALSE
EGPWS DISP SEL CAPT,1,1,198,1,0,SELECT,NOT SEL
WXR SELECTED CAPT,7,7,492,4,0,TRUE,FALSE
5C/7B ENG MODEL TYPE #2,2,2,512,4,0,7B,5C
SAC/DAC ENG CONFIG #2,1,1,512,4,0,DAC,SAC
LOB DISPLAY UNIT DRIVEN,6,6,197,4,0,ONSIDE,OFFSIDE
LIB DISPLAY UNIT DRIVEN,5,5,197,4,0,ONSIDE,OFFSIDE
CU DISPLAY UNIT DRIVEN,4,4,197,4,0,ONSIDE,OFFSIDE
CL DISPLAY UNIT DRIVEN,3,3,197,4,0,ONSIDE,OFFSIDE
RIB DISPLAY UNIT DRIVEN,2,2,197,4,0,ONSIDE,OFFSIDE
ROB DISPLAY UNIT DRIVEN,1,1,197,4,0,ONSIDE,OFFSIDE
EEC TEMP OVER LIMIT #1,1,1,242,2,0,TRUE,FALSE
ALTERNATOR FAULT #1,2,2,317,1,0,FAULT,NORMAL
EEC CROSS CHAN FAULT #1,1,1,239,3,0,FAULT,NORMAL
EEC CHANNEL FAULT #1,1,1,239,1,0,FAULT,NORMAL
FWD THR #1 LMT BY T/R POS,2,2,58,4,0,THRUST LMT,NORMAL
REV THR #1 LMT BY T/R POS,1,1,58,1,0,THRUST LMT,NORMAL
T/R INTRANSIT #1,2,2,109,0,0,INTRANSIT,NOT INTRANS
T/R INTRANSIT #1,2,2,365,0,0,INTRANSIT,NOT INTRANS
T/R FULL DEPLOY #1,1,1,109,0,0,FULL DEPLOY,NOT DEPLOYED
T/R FULL DEPLOY #1,1,1,365,0,0,FULL DEPLOY,NOT DEPLOYED
T/R SOL INTERLK ENERG #1,1,1,110,0,0,REV INTERLK,NORMAL
T/R SOL INTERLK ENERG #1,1,1,366,0,0,REV INTERLK,NORMAL
FUEL QTY IMBALANCE TANK 2,2,2,115,0,0,TRUE,FALSE
LOW FUEL QTY TANK 2,1,1,410,0,0,TRUE,FALSE
RT ENGINE FAIL,2,2,498,0,0,FAIL,NORMAL
RT STARTER VLV OPEN,3,3,244,0,0,TRUE,FALSE
FUEL CONFIGURATION ALERT,2,2,464,0,0,TRUE,FALSE
FUEL QTY IMBALANCE TANK 1,1,1,115,0,0,TRUE,FALSE
LOW FUEL QTY TANK 1,1,1,154,0,0,TRUE,FALSE
CAPT DISPLAY MAG/TRUE REF,2,2,35,0,0,MAG,TRUE
CAPT DISPLAY MAG/TRUE REF,2,2,163,0,0,MAG,TRUE
CAPT DISPLAY MAG/TRUE REF,2,2,291,0,0,MAG,TRUE
CAPT DISPLAY MAG/TRUE REF,2,2,419,0,0,MAG,TRUE
LT ENGINE FAIL,2,2,242,0,0,FAIL,NORMAL
LT STARTER VLV OPEN,3,3,500,0,0,TRUE,FALSE
CDS MAINT MSG DEU-1,1,1,250,0,0,TRUE,FALSE
CDS FAULT MSG DEU-1,1,1,208,0,0,TRUE,FALSE
EEC TEMP OVER LIMIT #2,1,1,498,2,0,TRUE,FALSE
ALTERNATOR FAULT #2,3,3,317,1,0,FAULT,NORMAL
EEC CROSS CHAN FAULT #2,1,1,495,3,0,FAULT,NORMAL
EEC CHANNEL FAULT #2,1,1,495,1,0,FAULT,NORMAL
FWD THR #2 LMT BY T/R POS,2,2,314,4,0,THRUST LMT,NORMAL
REV THR #2 LMT BY T/R POS,1,1,314,1,0,THRUST LMT,NORMAL
T/R INTRANSIT #2,2,2,237,0,0,INTRANSIT,NOT INTRANS
T/R INTRANSIT #2,2,2,493,0,0,INTRANSIT,NOT INTRANS
T/R FULL DEPLOY #2,1,1,237,0,0,FULL DEPLOY,NOT DEPLOYED
T/R FULL DEPLOY #2,1,1,493,0,0,FULL DEPLOY,NOT DEPLOYED
T/R SOL INTERLK ENERG #2,2,2,111,0,0,REV INTERLK,NORMAL
T/R SOL INTERLK ENERG #2,2,2,367,0,0,REV INTERLK,NORMAL
BSV DEMANDED CLOSED #1,2,2,244,0,0,CLOSE,OPEN
BSV POSITION STATUS #1,1,1,244,0,0,CLOSE,OPEN
SECONDARY ENGINE PUSHBUTTON,4,4,317,1,0,SELECT,NOT SEL
DSM CAPT LOWER SPARE,12,12,505,3,0,SELECT,NOT SEL
DSM CAPT LOWER ND,11,11,505,3,0,SELECT,NOT SEL
DSM CAPT LOWER NORM,10,10,505,3,0,SELECT,NOT SEL
DSM CAPT LOWER ENG,9,9,505,3,0,SELECT,NOT SEL
DSM CAPT INBD PFD,8,8,505,3,0,SELECT,NOT SEL
DSM CAPT INBD ENG,7,7,505,3,0,SELECT,NOT SEL
DSM CAPT INBD MFD,6,6,505,3,0,SELECT,NOT SEL
DSM CAPT NORM,5,5,505,3,0,SELECT,NOT SEL
DSM CAPT OUTBD PFD,4,4,505,3,0,SELECT,NOT SEL
CANCEL/RECALL,1,1,198,3,0,SELECT,NOT SEL
BSV DEMANDED CLOSED #2,2,2,500,0,0,CLOSE,OPEN
BSV POSITION STATUS #2,1,1,500,0,0,CLOSE,OPEN
TAT INHIBIT FLAG #1,3,3,238,4,0,TRUE,FALSE
PT TAXI INHIBIT #1,1,1,114,2,0,TRUE,FALSE
SYS PUSHBUTTON,1,1,198,4,0,SELECT,NOT SEL
DSM F/O LOWER SPARE,12,12,505,4,0,SELECT,NOT SEL
DSM F/O LOWER ND,11,11,505,4,0,SELECT,NOT SEL
DSM F/O LOWER NORM,10,10,505,4,0,SELECT,NOT SEL
DSM F/O LOWER ENG,9,9,505,4,0,SELECT,NOT SEL
DSM F/O INBD PFD,8,8,505,4,0,SELECT,NOT SEL
DSM F/O INBD ENG,7,7,505,4,0,SELECT,NOT SEL
DSM F/O INBD MFD,6,6,505,4,0,SELECT,NOT SEL
DSM F/O NORM,5,5,505,4,0,SELECT,NOT SEL
DSM F/O OUTBD PFD,4,4,505,4,0,SELECT,NOT SEL
COMM (RESERVED),2,2,188,3,0,SELECT,NOT SEL
TAT INHIBIT FLAG #2,3,3,494,4,0,TRUE,FALSE
PT TAXI INHIBIT #2,1,1,370,2,0,TRUE,FALSE
ECS ISOLATION VALVE,12,12,129,0,0,OPEN,CLOSED
WING ANTI-ICE SWITCH,11,11,129,0,0,ON,OFF
ENG 2 COWL ANTI-ICE SW,10,10,129,0,0,ON,OFF
ENG 1 COWL ANTI-ICE SW,9,9,129,0,0,ON,OFF
RT ECS PACK FLOW,8,8,129,0,0,OFF/HIGH,LOW
LT ECS PACK FLOW,7,7,129,0,0,OFF/HIGH,LOW
RT ECS PACK ON,6,6,129,0,0,ON,OFF
LT ECS PACK ON,5,5,129,0,0,ON,OFF
ENGINE 1 BLEED SWITCH,4,4,129,0,0,ON,OFF
ENGINE 2 BLEED SWITCH,3,3,129,0,0,ON,OFF
MDA HIGH ALTITUDE OPTION - F/O,2,2,57,1,0,SELECTED,NOT SELECTED
MDA HIGH ALTITUDE OPTION - CAPT,1,1,57,1,0,SELECTED,NOT SELECTED
FPV SELECTED F/O,5,5,492,4,0,SELECT,NOT SEL
METERS SELECTED F/O,4,4,492,4,0,SELECT,NOT SEL
HPA SELECTED F/O,3,3,492,4,0,SELECT,NOT SEL
HG SELECTED F/O,2,2,492,4,0,SELECT,NOT SEL
WXR SELECTED F/O,1,1,492,4,0,SELECT,NOT SEL
FPV SELECTED CAPT,11,11,492,4,0,SELECT,NOT SEL
METERS SELECTED CAPT,10,10,492,4,0,SELECT,NOT SEL
HPA SELECTED CAPT,9,9,492,4,0,SELECT,NOT SEL
HG SELECTED CAPT,8,8,492,4,0,SELECT,NOT SEL
WXR SELECTED CAPT,7,7,492,4,0,SELECT,NOT SEL
LOB DISPLAY UNIT DRIVEN,12,12,257,1,0,ONSIDE,OFFSIDE
LIB DISPLAY UNIT DRIVEN,11,11,257,1,0,ONSIDE,OFFSIDE
CU DISPLAY UNIT DRIVEN,10,10,257,1,0,ONSIDE,OFFSIDE
CL DISPLAY UNIT DRIVEN,9,9,257,1,0,ONSIDE,OFFSIDE
RIB DISPLAY UNIT DRIVEN,8,8,257,1,0,ONSIDE,OFFSIDE
ROB DISPLAY UNIT DRIVEN,7,7,257,1,0,ONSIDE,OFFSIDE
CDS MAINT MSG DEU-2,1,1,506,0,0,TRUE,FALSE
CDS FAULT MSG DEU-2,1,1,464,0,0,TRUE,FALSE
SPI,5,5,94,0,0,IDENT ON,IDENT OFF
SPI,5,5,350,0,0,IDENT ON,IDENT OFF
ALTITUDE REPORTING,3,3,92,0,0,OFF,ON
ALTITUDE REPORTING,3,3,348,0,0,OFF,ON
TCAS SYSTEM STATUS,1,1,92,0,0,FAILURE,NORMAL
TCAS SYSTEM STATUS,1,1,348,0,0,FAILURE,NORMAL
TCAS COMPUTER UNIT,2,2,92,0,0,FAILURE,OK
TCAS COMPUTER UNIT,2,2,348,0,0,FAILURE,OK
STICK SHAKER - RT,1,1,71,0,0,ACTIVATED,NOT ACTIVATE
STICK SHAKER - RT,1,1,199,0,0,ACTIVATED,NOT ACTIVATE
STICK SHAKER - RT,1,1,327,0,0,ACTIVATED,NOT ACTIVATE
STICK SHAKER - RT,1,1,455,0,0,ACTIVATED,NOT ACTIVATE
YAW DAMPER ENGAGE,1,1,36,0,0,ENGAGE,NOT ENGAGE
YAW DAMPER ENGAGE,1,1,164,0,0,ENGAGE,NOT ENGAGE
YAW DAMPER ENGAGE,1,1,292,0,0,ENGAGE,NOT ENGAGE
YAW DAMPER ENGAGE,1,1,420,0,0,ENGAGE,NOT ENGAGE
SOLENOID ENGAGE SMYDC-2,1,1,492,3,0,ENGAGE,NOT ENGAGE
AIR/GND DISCRETE- SMYDC,12,12,456,1,8,ON GND,IN AIR
NOSE AIR/GND DISCRETE- SMYDC,11,11,456,1,8,ON GND,IN AIR
MAIN GEAR DOWN - SMYDC,10,10,456,1,8,DOWN,NOT DOWN
CHANNEL FAULT - SMYDC,9,9,456,1,8,YAW DAMP CHNL FAULT,NO FAULT
AUTO SLAT CMD - RT,7,7,453,0,0,COMMAND,NOT COMMAND
AUTO SLAT VALID - RT,9,9,453,0,0,VALID,NOT VALID
AUTOSLAT CMD,6,6,453,0,0,TRUE,FALSE
RX LBL 206 ACTIVITY INV,1,1,242,3,0,INVALID,VALID
RX LBL 206 PARITY INV,1,1,242,4,0,INVALID,VALID
RX LBL 206 SSM INV,1,1,498,3,0,INVALID,VALID
AIR GND ON GND,3,3,317,4,0,GROUND,AIR
ALTERNATE ARM,1,1,444,0,0,ALTERNATE,PRIMARY
TE BYPASS VALVE POSN,1,1,446,0,0,BYPASS,NORMAL
ASYMMETRY ENABLE,5,5,453,0,0,ENABLED,DISABLED
FSEU FAULT,1,1,494,0,0,TRUE,FALSE
LT EXC INVALID,1,1,242,1,0,INVALID,VALID
RT EXC INVALID,1,1,498,1,0,INVALID,VALID
ECS - FSEU -TE FLAPS GT/UP,1,1,498,4,0,TE FLAPS GT,TE FLAPS UP
RUD PRESS LIMIT,1,1,228,0,0,LIMIT,NORMAL
RUD PRESS LIMIT,1,1,484,0,0,LIMIT,NORMAL
TAKEOFF WARNING,3,3,381,2,0,WARNING,NORMAL
TE FLAP LOAD RELIEF,2,2,444,0,0,LOAD RELIEF,NORMAL
LE CRUISE DEP,2,2,449,0,0,TRUE,FALSE
LE UCM SHUTOFF,1,1,449,0,0,TRUE,FALSE
TE FLAPS BYPASS RELAY,1,1,445,0,0,BYPASS,NORMAL
TE FLAP SKEW 1 TO 8,4,4,453,0,0,SKEW,NORMAL
TE FLAP SKEW 2 TO 7,3,3,453,0,0,SKEW,NORMAL
TE FLAP SKEW 3 TO 6,2,2,453,0,0,SKEW,NORMAL
TE FLAP SKEW 4 TO 5,1,1,453,0,0,SKEW,NORMAL
SPLIT LT NEEDLE,3,3,456,4,0,TRUE,FALSE
SPLIT RT NEEDLE,2,2,456,4,0,TRUE,FALSE
SPLIT NEEDLE CW,1,1,456,4,0,TRUE,FALSE
LE SLAT 1 EXTEND,12,12,447,0,0,TRUE,FALSE
LE SLAT 1 FULL EXTEND,11,11,447,0,0,TRUE,FALSE
LE SLAT 1 INTRANSIT,10,10,447,0,0,TRUE,FALSE
LE SLAT 2 EXTEND,9,9,447,0,0,TRUE,FALSE
LE SLAT 2 FULL EXTEND,8,8,447,0,0,TRUE,FALSE
LE SLAT 2 INTRANSIT,7,7,447,0,0,TRUE,FALSE
LE SLAT 3 EXTEND,6,6,447,0,0,TRUE,FALSE
LE SLAT 3 FULL EXTEND,5,5,447,0,0,TRUE,FALSE
LE SLAT 3 INTRANSIT,4,4,447,0,0,TRUE,FALSE
LE SLAT 4 EXTEND,3,3,447,0,0,TRUE,FALSE
LE SLAT 4 FULL EXTEND,2,2,447,0,0,TRUE,FALSE
LE SLAT 4 INTRANSIT,1,1,447,0,0,TRUE,FALSE
LE FLAP 1 EXTEND,12,12,449,0,0,TRUE,FALSE
LE FLAP 1 INTRANSIT,11,11,449,0,0,TRUE,FALSE
