ARAMETER ASSIGNMENT,SIGN,O-MSB,O-LSB,WORD,SUBF,SUPF,UNIT,OUT RANGE,OUT RES,ACCURACY
TE FLAP SKEW 5 POSN,S,12,2,52,4,12,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 5 POSN,S,12,2,52,4,4,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 5 POSN,S,12,2,52,4,8,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 5 POSN,S,12,2,52,4,16,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 6 POSN,S,12,2,52,4,2,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 6 POSN,S,12,2,52,4,14,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 6 POSN,S,12,2,52,4,10,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 6 POSN,S,12,2,52,4,6,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 7 POSN,S,12,2,52,2,16,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 7 POSN,S,12,2,52,2,12,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 7 POSN,S,12,2,52,2,8,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 7 POSN,S,12,2,52,2,4,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 8 POSN,S,12,2,52,2,10,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 8 POSN,S,12,2,52,2,6,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 8 POSN,S,12,2,52,2,2,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 8 POSN,S,12,2,52,2,14,DEG,+/-360,0.3515625,N/A
T.E. FLAP POSN-LT,S,12,2,30,1,0,DEG,+/-360,0.3515625,N/A
T.E. FLAP POSN-LT,S,12,2,30,3,0,DEG,+/-360,0.3515625,N/A
T.E. FLAP POSN-RT,S,12,2,30,2,0,DEG,+/-360,0.3515625,N/A
T.E. FLAP POSN-RT,S,12,2,30,4,0,DEG,+/-360,0.3515625,N/A
RADIO HEIGHT LRRA L,,2,1,186,2,0,FT,6144-0,2048,2 % OR 1.
RADIO HEIGHT,S,12,1,128,2,0,FT,+/-2048,1,2 % OR 1.
RADIO HEIGHT LRRA R,,2,1,186,4,0,FT,6144-0,2048,2 % OR 1.
RADIO HEIGHT,S,12,1,128,4,0,FT,+/-2048,1,2 % OR 1.
MACH TRIM CMD FEEDBACK,S,12,3,99,0,0,DEG,+/-5.90,0.011523437,N/A
MACH TRIM CMD,S,12,3,97,0,0,DEG,+/-5.90,0.011523437,N/A
AIL ACTUATOR POS-L,S,12,3,82,0,0,DEG,+/- 19.231,0.037560525,N/A
AIL ACTUATOR POS-L,S,12,3,210,0,0,DEG,+/- 19.231,0.037560525,N/A
AIL QUADRANT POS,S,12,3,22,0,0,DEG,+/- 21.3,0.041600156,N/A
AIL QUADRANT POS,S,12,3,150,0,0,DEG,+/- 21.3,0.041600156,N/A
ELEV PITCH CMD-L,S,12,3,7,0,0,DEG,+/- 32,0.0625,N/A
ELEV PITCH CMD-L,S,12,3,71,0,0,DEG,+/- 32,0.0625,N/A
ELEV PITCH CMD-L,S,12,3,135,0,0,DEG,+/- 32,0.0625,N/A
ELEV PITCH CMD-L,S,12,3,199,0,0,DEG,+/- 32,0.0625,N/A
ELEV ACTUATOR POS-L,S,12,3,5,0,0,DEG,+/- 19.231,0.037560546,N/A
ELEV ACTUATOR POS-L,S,12,3,69,0,0,DEG,+/- 19.231,0.037560546,N/A
ELEV ACTUATOR POS-L,S,12,3,133,0,0,DEG,+/- 19.231,0.037560546,N/A
ELEV ACTUATOR POS-L,S,12,3,197,0,0,DEG,+/- 19.231,0.037560546,N/A
ELEV QUADRANT POS,S,12,3,9,0,0,DEG,+/- 32,0.0625,N/A
ELEV QUADRANT POS,S,12,3,73,0,0,DEG,+/- 32,0.0625,N/A
ELEV QUADRANT POS,S,12,3,137,0,0,DEG,+/- 32,0.0625,N/A
ELEV QUADRANT POS,S,12,3,201,0,0,DEG,+/- 32,0.0625,N/A
AIL ROLL CMD-L,S,12,3,84,0,0,DEG,+/- 32,0.0625,N/A
AIL ROLL CMD-L,S,12,3,212,0,0,DEG,+/- 32,0.0625,N/A
CW FORCE (ROLL CWS),S,12,1,21,0,0,LBS,+/- 70,0.127,3.50%
CW FORCE (ROLL CWS),S,12,1,149,0,0,LBS,+/- 70,0.127,3.50%
CC FORCE (PITCH CWS FOREIGN),S,12,1,15,0,0,LBS,+/- 85,0.0625,3.50%
CC FORCE (PITCH CWS FOREIGN),S,12,1,143,0,0,LBS,+/- 85,0.0625,3.50%
CC FORCE (PITCH CWS LOCAL),S,12,1,14,0,0,LBS,+/- 85,0.0625,3.50%
CC FORCE (PITCH CWS LOCAL),S,12,1,142,0,0,LBS,+/- 85,0.0625,3.50%
RUD CMD - L,S,12,3,41,0,0,DEG,+/- 128,0.25,
RUD MOTOR CURRENT - L,S,12,3,42,0,0,AMPS,+/- 2.5,0.00488,
RUD POS SYNCHRO (T-TUBE),S,12,3,43,0,0,DEG,+/- 61,0.11914,
RUD POS SYNCHRO (T-TUBE),S,12,3,171,0,0,DEG,+/- 61,0.11914,
AIL ACTUATOR POS-R,S,12,3,88,0,0,DEG,+/- 19.231,0.037560546,N/A
AIL ACTUATOR POS-R,S,12,3,216,0,0,DEG,+/- 19.231,0.037560546,N/A
ELEV PITCH CMD-R,S,12,3,13,0,0,DEG,+/- 32,0.0625,N/A
ELEV PITCH CMD-R,S,12,3,77,0,0,DEG,+/- 32,0.0625,N/A
ELEV PITCH CMD-R,S,12,3,141,0,0,DEG,+/- 32,0.0625,N/A
ELEV PITCH CMD-R,S,12,3,205,0,0,DEG,+/- 32,0.0625,N/A
ELEV ACTUATOR POS-R,S,12,3,11,0,0,DEG,+/- 19.231,0.037560546,N/A
ELEV ACTUATOR POS-R,S,12,3,75,0,0,DEG,+/- 19.231,0.037560546,N/A
ELEV ACTUATOR POS-R,S,12,3,139,0,0,DEG,+/- 19.231,0.037560546,N/A
ELEV ACTUATOR POS-R,S,12,3,203,0,0,DEG,+/- 19.231,0.037560546,N/A
AIL ROLL CMD-R,S,12,3,90,0,0,DEG,+/- 32,0.0625,N/A
AIL ROLL CMD-R,S,12,3,218,0,0,DEG,+/- 32,0.0625,N/A
RUD CMD - R,S,12,3,169,0,0,DEG,+/- 128,0.25,
RUD MOTOR CURRENT - R,S,12,3,170,0,0,AMPS,+/- 2.5,0.00488,
DME DISTANCE-LT,,12,3,183,2,0,NM,256,0.25,+/-0.1
WIND SPEED,,12,4,181,2,0,KT,0-256,0.5,N/A
WIND SPEED,,12,4,182,2,0,KT,0-256,0.5,N/A
WIND DIRECTION TRUE,S,12,3,181,3,0,DEG,+/-180,0.3515625,N/A
WIND DIRECTION TRUE,S,12,3,182,3,0,DEG,+/-180,0.3515625,N/A
DRIFT ANGLE,S,12,3,180,0,0,DEG,+/-45,0.087890625,N/A
APU N1,,10,3,155,1,0,%RPM,0-128,0.5,N/A
APU OIL TEMP,S,12,3,155,3,0,DEG,+/-512,1,N/A
APU EGT (T5),S,12,2,155,2,0,DEG,+/-2048,2,N/A
APU FUEL FLOW,,11,3,155,4,0,LB/HR,0-512,1,N/A
FLIGHT PATH X POSITION,S,12,1,185,1,0,DU,+/-512,0.25,N/A
FLIGHT PATH Y POSITION,S,12,1,185,2,0,DU,+/-512,0.25,N/A
GUIDANCE CUE X POSITION,S,12,1,185,3,0,DU,+/-512,0.25,N/A
GUIDANCE CUE Y POSITION,S,12,1,185,4,0,DU,+/-512,0.25,N/A
VERTICAL ACCELERATION,S,12,1,2,0,0,G's,+6to-3,0.00228938,+/-1.0%
VERTICAL ACCELERATION,S,12,1,34,0,0,G's,+6to-3,0.00228938,+/-1.0%
VERTICAL ACCELERATION,S,12,1,66,0,0,G's,+6to-3,0.00228938,+/-1.0%
VERTICAL ACCELERATION,S,12,1,98,0,0,G's,+6to-3,0.00228938,+/-1.0%
VERTICAL ACCELERATION,S,12,1,130,0,0,G's,+6to-3,0.00228938,+/-1.0%
VERTICAL ACCELERATION,S,12,1,162,0,0,G's,+6to-3,0.00228938,+/-1.0%
VERTICAL ACCELERATION,S,12,1,194,0,0,G's,+6to-3,0.00228938,+/-1.0%
VERTICAL ACCELERATION,S,12,1,226,0,0,G's,+6to-3,0.00228938,+/-1.0%
PITCH TRIM POSITION,S,12,1,136,0,0,DEG,+4to-13,0.03117,+/-30 MIN
LATERAL ACCELERATION,S,12,3,36,0,0,G's,+/-1,0.00203649,+/-1.0%
LATERAL ACCELERATION,S,12,3,100,0,0,G's,+/-1,0.00203649,+/-1.0%
LATERAL ACCELERATION,S,12,3,164,0,0,G's,+/-1,0.00203649,+/-1.0%
LATERAL ACCELERATION,S,12,3,228,0,0,G's,+/-1,0.00203649,+/-1.0%
CONTROL COL POSN - CAPT,S,12,2,6,0,0,DEG,14.75 to -13.75,0.02202473,+/- 20 MIN
CONTROL COL POSN - CAPT,S,12,2,70,0,0,DEG,14.75 to -13.75,0.02202473,+/- 20 MIN
CONTROL COL POSN - CAPT,S,12,2,134,0,0,DEG,14.75 to -13.75,0.02202473,+/- 20 MIN
CONTROL COL POSN - CAPT,S,12,2,198,0,0,DEG,14.75 to -13.75,0.02202473,+/- 20 MIN
CONTROL WHEEL POSN - CAPT,S,12,3,19,0,0,DEG,-107.5 to 107.5,0.3515625,+/- 20 MIN
CONTROL WHEEL POSN - CAPT,S,12,3,83,0,0,DEG,-107.5 to 107.5,0.3515625,+/- 20 MIN
CONTROL WHEEL POSN - CAPT,S,12,3,147,0,0,DEG,-107.5 to 107.5,0.3515625,+/- 20 MIN
CONTROL WHEEL POSN - CAPT,S,12,3,211,0,0,DEG,-107.5 to 107.5,0.3515625,+/- 20 MIN
RUD PEDAL POS,S,12,2,39,0,0,DEG,+/-15,0.02843471,+/-30 MIN
RUD PEDAL POS,S,12,2,103,0,0,DEG,+/-15,0.02843471,+/-30 MIN
RUD PEDAL POS,S,12,2,167,0,0,DEG,+/-15,0.02843471,+/-30 MIN
RUD PEDAL POS,S,12,2,231,0,0,DEG,+/-15,0.02843471,+/-30 MIN
ELEV POS-L,S,12,1,4,0,0,DEG,-18.5 to 24.5,0.049834123,+/-30 MIN
ELEV POS-L,S,12,1,68,0,0,DEG,-18.5 to 24.5,0.049834123,+/-30 MIN
ELEV POS-L,S,12,1,132,0,0,DEG,-18.5 to 24.5,0.049834123,+/-30 MIN
ELEV POS-L,S,12,1,196,0,0,DEG,-18.5 to 24.5,0.049834123,+/-30 MIN
ELEV POS-R,S,12,1,10,0,0,DEG,-18.5 to 24.5,0.049834123,+/-30 MIN
ELEV POS-R,S,12,1,74,0,0,DEG,-18.5 to 24.5,0.049834123,+/-30 MIN
ELEV POS-R,S,12,1,138,0,0,DEG,-18.5 to 24.5,0.049834123,+/-30 MIN
ELEV POS-R,S,12,1,202,0,0,DEG,-18.5 to 24.5,0.049834123,+/-30 MIN
AIL POS-L,S,12,1,17,0,0,DEG,-16 to 21,0.05841792,+/-30 MIN
AIL POS-L,S,12,1,81,0,0,DEG,-16 to 21,0.05841792,+/-30 MIN
AIL POS-L,S,12,1,145,0,0,DEG,-16 to 21,0.05841792,+/-30 MIN
AIL POS-L,S,12,1,209,0,0,DEG,-16 to 21,0.05841792,+/-30 MIN
AIL POS-R,S,12,1,23,0,0,DEG,-16 to 21,0.05841792,+/-30 MIN
AIL POS-R,S,12,1,87,0,0,DEG,-16 to 21,0.05841792,+/-30 MIN
AIL POS-R,S,12,1,151,0,0,DEG,-16 to 21,0.05841792,+/-30 MIN
AIL POS-R,S,12,1,215,0,0,DEG,-16 to 21,0.05841792,+/-30 MIN
LONGITUDINAL ACCELERATION,S,12,3,45,0,0,G's,+/-1,0.00203649,+/-1.0%
LONGITUDINAL ACCELERATION,S,12,3,109,0,0,G's,+/-1,0.00203649,+/-1.0%
LONGITUDINAL ACCELERATION,S,12,3,173,0,0,G's,+/-1,0.00203649,+/-1.0%
LONGITUDINAL ACCELERATION,S,12,3,237,0,0,G's,+/-1,0.00203649,+/-1.0%
CONTROL WHEEL POSN - F/O,S,12,3,25,0,0,DEG,-107.5 to 107.5,0.3515625,+/- 20 MIN
CONTROL WHEEL POSN - F/O,S,12,3,89,0,0,DEG,-107.5 to 107.5,0.3515625,+/- 20 MIN
CONTROL WHEEL POSN - F/O,S,12,3,153,0,0,DEG,-107.5 to 107.5,0.3515625,+/- 20 MIN
CONTROL WHEEL POSN - F/O,S,12,3,217,0,0,DEG,-107.5 to 107.5,0.3515625,+/- 20 MIN
SPD BRAKE HANDLE POSN,S,12,1,94,0,0,DEG,-3 to 51,0.09800099,+/-30 MIN
SPD BRAKE HANDLE POSN,S,12,1,222,0,0,DEG,-3 to 51,0.09800099,+/-30 MIN
CONTROL COL POSN - F/O,S,12,2,12,0,0,DEG,14.75 to -13.75,0.02202473,+/- 20 MIN
CONTROL COL POSN - F/O,S,12,2,76,0,0,DEG,14.75 to -13.75,0.02202473,+/- 20 MIN
CONTROL COL POSN - F/O,S,12,2,140,0,0,DEG,14.75 to -13.75,0.02202473,+/- 20 MIN
CONTROL COL POSN - F/O,S,12,2,204,0,0,DEG,14.75 to -13.75,0.02202473,+/- 20 MIN
SPOILER POSITION NO. 3,,12,1,91,0,0,DEG,0 to 60,0.06875084,+/-30 MIN
SPOILER POSITION NO. 3,,12,1,219,0,0,DEG,0 to 60,0.06875084,+/-30 MIN
SPOILER POSITION NO. 10,S,12,1,96,0,0,DEG,0 to -60,0.06875084,+/-30 MIN
SPOILER POSITION NO. 10,S,12,1,224,0,0,DEG,0 to -60,0.06875084,+/-30 MIN
RUD POS,S,12,1,37,0,0,DEG,+/-29,0.06519,+/-25MIN
RUD POS,S,12,1,101,0,0,DEG,+/-29,0.06519,+/-25MIN
RUD POS,S,12,1,165,0,0,DEG,+/-29,0.06519,+/-25MIN
RUD POS,S,12,1,229,0,0,DEG,+/-29,0.06519,+/-25MIN
BRAKE PRESS ALT-LT,S,12,3,86,0,0,PSI,3300to-165,3.387096774, +/-1.25%
BRAKE PRESS ALT-RT,S,12,3,214,0,0,PSI,3300to-165,3.387096774,+/-1.25%
BRAKE PRESS MAIN-LT,S,12,3,86,0,0,PSI,3300to-165,3.387096774,+/-1.25%
BRAKE PRESS MAIN-RT,S,12,3,214,0,0,PSI,3300to-165,3.387096774,+/-1.25%
STBY HYD OIL PRESS,S,12,2,56,1,0,PSI,(-8185)-32589,19.9095,+/-1.84% Vratio
STBY HYD OIL PRESS,S,12,2,56,3,0,PSI,(-8185)-32589,19.9095,+/-1.84% Vratio
RUD PEDAL FORCE,S,12,1,40,0,0,LBS,+/- 165,0.5952,+/- 3.5%
RUD PEDAL FORCE,S,12,1,168,0,0,LBS,+/- 165,0.5952,+/- 3.5%
RESERVED ACVR #2,,12,1,49,0,0,,,0,
SPARE,2,1,203,0,0,TBD,TBD,,,
SPARE,12,11,63,0,0,TBD,TBD,,,
EGPWS BIT 23,12,12,61,0,0,TBD,TBD,,,
EGPWS BIT 22,11,11,61,0,0,TBD,TBD,,,
SPARE,2,2,28,0,0,NA,NA,,,
SPARE,2,2,228,0,0,NA,NA,,,
SPARE,1,1,75,0,0,NA,NA,,,
FMC MAP CHAR 3,8,2,256,3,4,ISO #5 CODE,ISO #5 CODE,,,
FMC MAP CHAR 3,8,2,256,3,12,ISO #5 CODE,ISO #5 CODE,,,
FMC MAP CHAR 2,8,2,256,3,5,ISO #5 CODE,ISO #5 CODE,,,
FMC MAP CHAR 2,8,2,256,3,13,ISO #5 CODE,ISO #5 CODE,,,
FMC MAP CHAR 1,8,2,256,3,6,ISO #5 CODE,ISO #5 CODE,,,
FMC MAP CHAR 1,8,2,256,3,14,ISO #5 CODE,ISO #5 CODE,,,
FMC MAP CHAR 6,8,2,256,3,1,ISO #5 CODE,ISO #5 CODE,,,
FMC MAP CHAR 6,8,2,256,3,9,ISO #5 CODE,ISO #5 CODE,,,
FMC MAP CHAR 5,8,2,256,3,10,ISO #5 CODE,ISO #5 CODE,,,
FMC MAP CHAR 5,8,2,256,3,2,ISO #5 CODE,ISO #5 CODE,,,
FMC MAP CHAR 4,8,2,256,3,11,ISO #5 CODE,ISO #5 CODE,,,
FMC MAP CHAR 4,8,2,256,3,3,ISO #5 CODE,ISO #5 CODE,,,
PROVISIONAL SPARE,8,2,256,3,7,TBD,TBD,,,
PROVISIONAL SPARE,8,2,256,3,8,TBD,TBD,,,
AUTO SLAT ENABLE - RT,2,2,79,4,0,ENABLE,ENABLE,,,
ORIGIN CHARACTER #3,7,1,192,1,8,CODED,CODED,,,
ORIGIN CHARACTER #2,7,1,192,1,9,CODED,CODED,,,
ORIGIN CHARACTER #1,7,1,192,1,10,CODED,CODED,,,
DESTINATION CHAR #1,7,1,192,1,14,CODED,CODED,,,
ORIGIN CHARACTER #4,7,1,192,1,7,CODED,CODED,,,
DESTINATION CHAR #4,7,1,192,1,11,CODED,CODED,,,
DESTINATION CHAR #3,7,1,192,1,12,CODED,CODED,,,
DESTINATION CHAR #2,7,1,192,1,13,CODED,CODED,,,
FLT NUMBER CHAR #2,7,1,51,4,7,CODED,CODED,,,
FLT NUMBER CHAR #1,7,1,51,4,6,CODED,CODED,,,
FLT NUMBER CHAR #4,7,1,51,4,9,CODED,CODED,,,
FLT NUMBER CHAR #3,7,1,51,4,8,CODED,CODED,,,
FLT NUMBER CHAR #6,7,1,51,4,11,CODED,CODED,,,
FLT NUMBER CHAR #5,7,1,51,4,10,CODED,CODED,,,
FLT NUMBER CHAR #8,7,1,51,4,13,CODED,CODED,,,
FLT NUMBER CHAR #7,7,1,51,4,12,CODED,CODED,,,
N1 LIMIT MODE,2,1,175,0,0,CODED,CODED,,,
N1 LIMIT MODE,2,1,174,0,0,CODED,CODED,,,
CN1 ACCELEROMETER SOURCE,3,2,249,0,0,CODED,CODED,,,
CN1 ACCELEROMETER SOURCE,3,2,121,0,0,CODED,CODED,,,
CN2 ACCELEROMETER SOURCE,3,2,250,0,0,CODED,CODED,,,
CN2 ACCELEROMETER SOURCE,3,2,122,0,0,CODED,CODED,,,
TN1 ACCELEROMETER SOURCE,3,2,251,0,0,CODED,CODED,,,
TN1 ACCELEROMETER SOURCE,3,2,123,0,0,CODED,CODED,,,
TN2 ACCELEROMETER SOURCE,3,2,252,0,0,CODED,CODED,,,
TN2 ACCELEROMETER SOURCE,3,2,124,0,0,CODED,CODED,,,
FAN IMB ACCEL SOURCE,3,2,253,0,0,CODED,CODED,,,
FAN IMB ACCEL SOURCE,3,2,125,0,0,CODED,CODED,,,
LPT IMB ACCEL SOURCE,3,2,254,0,0,CODED,CODED,,,
LPT IMB ACCEL SOURCE,3,2,126,0,0,CODED,CODED,,,
PRE WINDSHEAR,12,11,20,0,0,CODED,CODED,,,
ILS/MLS/GLS MODE SEL - L,8,5,53,2,0,CODED,CODED,,,
MLS ANTENNA SOURCE,2,1,79,1,0,CODED,CODED,,,
DATA BROADCAST MODE - L,12,11,52,1,0,CODED,CODED,,,
GNSS MODE - L,10,9,52,1,0,CODED,CODED,,,
GLS MODE - L,8,7,52,1,0,CODED,CODED,,,
MLS MODE - L,6,5,52,1,0,CODED,CODED,,,
ILS MODE - MMR-L,4,3,52,1,0,CODED,CODED,,,
N1 LIMIT MODE CMD,5,3,191,0,0,CODED,CODED,,,
ILS/MLS/GLS MODE SEL - R,8,5,53,4,0,CODED,CODED,,,
MLS ANTENNA SOURCE,2,1,79,3,0,CODED,CODED,,,
DATA BROADCAST MODE - R,12,11,52,3,0,CODED,CODED,,,
GNSS MODE - R,10,9,52,3,0,CODED,CODED,,,
GLS MODE - R,8,7,52,3,0,CODED,CODED,,,
MLS MODE - R,6,5,52,3,0,CODED,CODED,,,
ILS MODE - MMR-R,4,3,52,3,0,CODED,CODED,,,
FMC SELECTED PRIMARY NAV SOURCE,8,1,188,0,0,CODED,CODED,,,
DME DISPLAY BIT,12,12,119,2,4,CODED,CODED,,,
LIGHT OFF REF/STATUS #2,12,11,213,1,0,CODED,CODED,,,
STALL MODE STATUS #2,10,9,213,1,0,CODED,CODED,,,
ENGINE PANEL MODE #2,12,9,213,3,0,CODED,CODED,,,
SPEED REG #2,4,1,213,0,0,CODED,CODED,,,
LIGHT OFF REF/STATUS #1,12,11,85,1,0,CODED,CODED,,,
STALL MODE STATUS #1,10,9,85,1,0,CODED,CODED,,,
ENGINE PANEL MODE #1,12,9,85,3,0,CODED,CODED,,,
SPEED REG #1,4,1,85,0,0,CODED,CODED,,,
LOB DU FORMAT,6,1,51,2,0,CODED,CODED,,,
LIB DU FORMAT,12,7,51,3,0,CODED,CODED,,,
CU DU FORMAT,6,1,51,3,0,CODED,CODED,,,
ROB DU FORMAT,12,7,51,1,0,CODED,CODED,,,
RIB DU FORMAT,6,1,51,1,0,CODED,CODED,,,
CL DU FORMAT,12,7,51,2,0,CODED,CODED,,,
ENG A/P TYPE CODE #1,12,10,51,4,1,CODED,CODED,,,
N1 TRIM #1,7,5,51,4,1,CODED,CODED,,,
ENGINE RATING #1,4,1,51,4,1,CODED,CODED,,,
RANGE SELECT F/O,9,1,50,1,0,CODED,CODED,,,
RANGE SELECT CAPT,9,1,50,2,0,CODED,CODED,,,
ENG A/P TYPE CODE #2,12,10,51,4,2,CODED,CODED,,,
N1 TRIM #2,7,5,51,4,2,CODED,CODED,,,
ENGINE RATING #2,4,1,51,4,2,CODED,CODED,,,
ENG POSITION CODE #1,2,1,256,4,8,CODED,CODED,,,
DISPLAYED APP SOURCE - F/O,4,2,127,2,0,CODED,CODED,,,
DISPLAYED APP SOURCE - F/O,4,2,127,4,0,CODED,CODED,,,
DISPLAYED APP SOURCE - CAPT,4,2,127,1,0,CODED,CODED,,,
DISPLAYED APP SOURCE - CAPT,4,2,127,3,0,CODED,CODED,,,
ENG POSITION CODE #2,2,1,256,4,9,CODED,CODED,,,
COWL TAI CONFIG CODE #1,12,11,119,3,0,CODED,CODED,,,
WING TAI CONFIG CODE #1,10,8,119,3,0,CODED,CODED,,,
ECS CONFIG CODE #1,7,4,119,3,0,CODED,CODED,,,
N1 SET SELECT,12,10,50,2,0,CODED,CODED,,,
COWL TAI CONFIG CODE #2,12,11,119,4,0,CODED,CODED,,,
WING TAI CONFIG CODE #2,10,8,119,4,0,CODED,CODED,,,
ECS CONFIG CODE #2,7,4,119,4,0,CODED,CODED,,,
REF SPEED SELECT,12,10,50,1,0,CODED,CODED,,,
ALTITUDE SELECT,2,1,225,0,0,CODED,CODED,,,
SENSITIVITY LEVEL CONTROL,3,1,46,0,0,CODED,CODED,,,
DOWN ADVISORY,9,7,46,0,0,CODED,CODED,,,
UP ADVISORY,6,4,46,0,0,CODED,CODED,,,
VERTICAL CONTROL,8,6,225,0,0,CODED,CODED,,,
COMBINED CONTROL,10,8,63,0,0,CODED,CODED,,,
COMBINED CONTROL,5,3,225,0,0,CODED,CODED,,,
ADV ALT RATE,7,1,63,0,0,CODED,CODED,,,
RI FIELD,12,9,225,0,0,CODED,CODED,,,
TCAS SENSITIVITY LEVEL,12,10,46,0,0,CODED,CODED,,,
DME DISPLAY BIT,12,12,119,2,2,CODED,CODED,,,
SPARE SHUNT DISCRETE #B18,1,1,9,0,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B26,1,1,16,0,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B48,2,2,48,2,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B48,2,2,48,4,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B49,1,1,48,2,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B49,1,1,48,4,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B52,1,1,201,0,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B53,2,2,201,0,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B54,1,1,200,0,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B55,2,2,200,0,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B56,1,1,198,0,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B57,1,1,195,0,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B58,2,2,195,0,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B59,1,1,193,0,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B60,2,2,193,0,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B61,3,3,119,3,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B63,2,2,183,4,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B64,1,1,189,1,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B65,1,1,182,2,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B66,2,2,182,2,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B67,3,3,182,2,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B68,2,2,171,0,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B69,1,1,43,0,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B69,1,1,171,0,0,CODED,CODED,,,
SPARE SERIES DISCRETE #B70,1,1,192,3,0,CODED,CODED,,,
A/C TYPE LSB,6,6,256,4,1,CODED,CODED,,,
A/C TYPE LSB+1,7,7,256,4,1,CODED,CODED,,,
A/C TYPE LSB+2,8,8,256,4,1,CODED,CODED,,,
A/C TYPE LSB+3,9,9,256,4,1,CODED,CODED,,,
A/C TYPE LSB+4,10,10,256,4,1,CODED,CODED,,,
A/C TYPE LSB+5,11,11,256,4,1,CODED,CODED,,,
FLEET IDENT LSB,1,1,256,3,15,CODED,CODED,,,
FLEET IDENT LSB + 1,2,2,256,3,15,CODED,CODED,,,
FLEET IDENT LSB + 2,3,3,256,3,15,CODED,CODED,,,
FLEET IDENT MSB,4,4,256,3,15,CODED,CODED,,,
A/C NUMBER LSB,1,1,256,3,16,CODED,CODED,,,
A/C NUMBER LSB + 1,2,2,256,3,16,CODED,CODED,,,
A/C NUMBER LSB + 2,3,3,256,3,16,CODED,CODED,,,
A/C NUMBER LSB + 3,4,4,256,3,16,CODED,CODED,,,
A/C NUMBER LSB + 4,5,5,256,3,16,CODED,CODED,,,
A/C NUMBER LSB + 5,6,6,256,3,16,CODED,CODED,,,
A/C NUMBER LSB + 6,7,7,256,3,16,CODED,CODED,,,
A/C NUMBER MSB,8,8,256,3,16,CODED,CODED,,,
SPARE SHUNT DISCRETE #B111,1,1,184,0,0,CODED,CODED,,,
SPARE SHUNT DISCRETE #B112,2,2,184,0,0,CODED,CODED,,,
CONFIG SHUNT DISCRETE #B115,1,1,183,2,0,CODED,CODED,,,
SPARE SHUNT DISCRETE #B116,2,2,183,2,0,CODED,CODED,,,
SPARE SHUNT DISCRETE #B117,1,1,183,4,0,CODED,CODED,,,
SPARE SHUNT DISCRETE #B118,1,1,125,0,0,CODED,CODED,,,
SPARE SHUNT DISCRETE #B118,1,1,253,0,0,CODED,CODED,,,
A/C TYPE MSB,12,12,256,4,1,CODED,CODED,,,
MOTOR PWR APP FROM ASM 2,2,2,147,0,0,YES,NO,,,
MOTOR PWR APP FROM ASM 1,1,1,147,0,0,YES,NO,,,
A/T DISENGAGE,2,2,160,0,0,ENGAGED,NOT ENGAGE,,,
A/T DISCONNECT SWITCH,12,12,160,0,0,ENGAGE,NOT ENGAGE,,,
ARM,11,11,160,0,0,ARM,NOT ARM,,,
GA,10,10,160,0,0,GA,NOT GA,,,
MCP SPEED,9,9,160,0,0,MCP SPD,NOT MCP SPD,,,
A/T LIMIT,8,8,160,0,0,THR LIMIT,NOT THR LIMT,,,
FMC SPD,7,7,160,0,0,FMC SPD,NOT FMC SPD,,,
N1 - A/T MODE,6,6,160,0,0,N1,NOT N1,,,
RETARD,5,5,160,0,0,RETARD,NOT RETARD,,,
